classification,orientation,distance,time
same,0,0,0.00003 
same,0,0,0.00002 
same,0,0,0.00003 
same,0,0,0.00002 
same,0.51493,0.261,0.06497 
same,0,0,0.00015 
same,0.15228,0,0.00015 
same,0.03081,0.16,0.00974 
same,0.60984,0.061,0.01650 
same,0.28351,0,0.00015 
same,0.19594,0.022,0.01394 
same,0.14697,0,0.00014 
same,0,0,0.00075 
same,0,0,0.00048 
same,0,0,0.00013 
same,0,0.001,0.00014 
same,0,0.001,0.00072 
same,0,0,0.00013 
same,0,0,0.00013 
same,0,0,0.00013 
same,0,0,0.00012 
same,0,0,0.00051 
same,0,0,0.00011 
same,0,0,0.00013 
same,0,0,0.00013 
same,0,0,0.00030 
same,0,0,0.00015 
same,0,0,0.00015 
same,0,0,0.00014 
same,0,0,0.00015 
same,0,0,0.00015 
same,0,0,0.00015 
same,0,0,0.00014 
same,0,0,0.00015 
same,0,0,0.00014 
same,0,0,0.00031 
same,0,0,0.00014 
same,0,0,0.00173 
same,0.01939,0.004,0.00563 
same,0,0,0.00015 
same,0,0,0.00015 
same,0,0.001,0.00036 
same,0,0.002,0.00105 
same,0,0.001,0.00014 
same,0.17058,0.003,0.00031 
same,0,0.002,0.00014 
same,0,0.006,0.00031 
same,0.17426,0.004,0.00014 
same,0,0.009,0.00031 
same,0,0.006,0.00013 
same,0,0.013,0.00031 
same,0.14112,0.007,0.00015 
same,0,0.007,0.00014 
same,0,0.015,0.00031 
same,0,0.008,0.00013 
same,0,0.008,0.00015 
same,0,0.009,0.00015 
same,0,0.009,0.00015 
same,0,0.009,0.00015 
same,0,0.01,0.00014 
same,0,0.01,0.00015 
same,0,0.01,0.00014 
same,0,0.01,0.00015 
same,0,0.011,0.00015 
same,0,0.011,0.00015 
same,0,0.011,0.00014 
same,0,0.011,0.00014 
same,0,0.011,0.00015 
same,0,0.021,0.00031 
same,0.15107,0.031,0.00045 
same,0,0.009,0.00015 
same,0,0.009,0.00015 
same,0,0.008,0.00015 
same,0,0.008,0.00014 
same,0,0.007,0.00015 
same,0,0.007,0.00015 
same,0,0.006,0.00015 
same,0,0.005,0.00014 
same,0,0.005,0.00014 
same,0,0.007,0.00031 
same,0,0.003,0.00014 
same,0,0.005,0.00031 
same,0,0.002,0.00015 
same,0,0.002,0.00014 
same,0,0.003,0.00030 
same,0,0.001,0.00015 
same,0,0.002,0.00031 
same,0,0.001,0.00014 
same,0,0.001,0.00015 
same,0,0.003,0.00031 
same,0,0.001,0.00014 
same,0,0.001,0.00015 
same,0,0.001,0.00015 
same,0,0.001,0.00014 
same,0,0.001,0.00015 
same,0,0.001,0.00014 
same,0,0.001,0.00015 
same,0,0.001,0.00080 
same,0,0,0.00014 
same,0,0,0.00015 
same,0,0,0.00014 
