classification,orientation,distance,time,indexTouchPoint,indexLastPoint,predicted
same,0,0.002,0.00011,1,0,same
same,0.22146,0.002,0.00015,2,1,same
same,0,0.002,0.00014,3,2,same
same,0,0.002,0.00015,4,3,same
same,0,0.002,0.00014,5,4,same
same,0,0.002,0.00016,6,5,same
same,0,0.003,0.00014,7,6,same
same,0,0.003,0.00014,8,7,same
same,0,0.005,0.00015,9,8,same
same,0,0.005,0.00018,10,9,same
same,0,0.005,0.00012,11,10,same
same,0,0.01,0.00031,12,11,same
same,0,0.004,0.00016,13,12,same
same,0,0.004,0.00013,14,13,same
same,0,0.004,0.00013,15,14,same
same,0.27404,0.115,0.03023,16,15,different
same,0.1583,0,0.00043,17,16,same
different,0.81612,0.184,0.3791,18,17,different
different,0.81612,0.184,0.37924,19,17,different
same,0,0.001,0.00014,19,18,same
different,0.81612,0.183,0.37939,20,17,different
same,0,0.001,0.00015,20,19,same
different,0.81612,0.183,0.37968,21,17,different
same,0,0.005,0.00029,21,20,same
different,0.99893,0.183,0.37984,22,17,different
same,0.18281,0.003,0.00016,22,21,same
different,0.99893,0.183,0.37998,23,17,different
same,0,0.003,0.00014,23,22,same
different,0.99893,0.183,0.38016,24,17,different
same,0,0.004,0.00018,24,23,same
different,0.2529,0.182,0.38027,25,17,different
same,0.25397,0.006,0.00011,25,24,same
different,0.41352,0.182,0.38042,26,17,different
same,0.16062,0.008,0.00015,26,25,same
different,0.58578,0.182,0.38056,27,17,different
same,0.17226,0.008,0.00015,27,26,same
different,0.58578,0.183,0.3807,28,17,different
same,0,0.009,0.00014,28,27,same
different,0.85339,0.184,0.38085,29,17,different
same,0.26761,0.01,0.00015,29,28,same
different,0.85339,0.185,0.381,30,17,different
same,0,0.01,0.00015,30,29,same
different,0.06646,0.187,0.38115,31,17,different
same,0.21307,0.011,0.00015,31,30,same
different,0.06646,0.19,0.38129,32,17,different
same,0,0.011,0.00014,32,31,same
different,0.26816,0.193,0.38144,33,17,different
same,0.20169,0.011,0.00015,33,32,same
different,0.26816,0.197,0.38158,34,17,different
same,0,0.011,0.00014,34,33,same
different,0.26816,0.204,0.38188,35,17,different
same,0,0.022,0.0003,35,34,same
different,0.26816,0.208,0.38202,36,17,different
same,0,0.011,0.00014,36,35,same
different,0.26816,0.213,0.38217,37,17,different
same,0,0.01,0.00016,37,36,same
different,0.26816,0.216,0.38231,38,17,different
same,0,0.01,0.00014,38,37,same
different,0.08359,0.22,0.38246,39,17,different
same,0.18457,0.01,0.00015,39,38,same
different,0.08359,0.224,0.3826,40,17,different
same,0,0.009,0.00014,40,39,same
different,0.08359,0.228,0.38275,41,17,different
same,0,0.009,0.00015,41,40,same
different,0.91965,0.232,0.38289,42,17,different
same,0.16393,0.009,0.00014,42,41,same
different,0.91965,0.236,0.38304,43,17,different
same,0,0.008,0.00015,43,42,same
different,0.91965,0.24,0.38319,44,17,different
same,0,0.008,0.00015,44,43,same
different,0.91965,0.244,0.38334,45,17,different
same,0,0.009,0.00015,45,44,same
different,0.91965,0.248,0.38348,46,17,different
same,0,0.009,0.00014,46,45,same
different,0.91965,0.253,0.38363,47,17,different
same,0,0.009,0.00015,47,46,same
different,0.91965,0.263,0.38392,48,17,different
same,0,0.017,0.00029,48,47,same
different,0.91965,0.268,0.38406,49,17,different
same,0,0.008,0.00015,49,48,same
different,0.91965,0.274,0.38422,50,17,different
same,0,0.008,0.00016,50,49,same
different,0.91965,0.279,0.38435,51,17,different
same,0,0.009,0.00013,51,50,same
different,0.91965,0.285,0.3845,52,17,different
same,0,0.008,0.00015,52,51,same
different,0.91965,0.29,0.38465,53,17,different
same,0,0.008,0.00015,53,52,same
different,0.91965,0.296,0.3848,54,17,different
same,0,0.008,0.00015,54,53,same
different,0.91965,0.302,0.38494,55,17,different
