classification,orientation,distance,time,predicted
same,0,0.002,0.00011,same
same,0.22146,0.002,0.00015,same
same,0,0.002,0.00014,same
same,0,0.002,0.00015,same
same,0,0.002,0.00014,same
same,0,0.002,0.00016,same
same,0,0.003,0.00014,same
same,0,0.003,0.00014,same
same,0,0.005,0.00015,same
same,0,0.005,0.00018,same
same,0,0.005,0.00012,same
same,0,0.01,0.00031,same
same,0,0.004,0.00016,same
same,0,0.004,0.00013,same
same,0,0.004,0.00013,same
same,0.27404,0.115,0.03023,different
same,0.1583,0,0.00043,same
different,0.81612,0.184,0.3791,different
different,0.81612,0.184,0.37924,different
same,0,0.001,0.00014,same
different,0.81612,0.183,0.37939,different
same,0,0.001,0.00015,same
different,0.81612,0.183,0.37968,different
same,0,0.005,0.00029,same
different,0.99893,0.183,0.37984,different
same,0.18281,0.003,0.00016,same
different,0.99893,0.183,0.37998,different
same,0,0.003,0.00014,same
different,0.99893,0.183,0.38016,different
same,0,0.004,0.00018,same
different,0.2529,0.182,0.38027,different
same,0.25397,0.006,0.00011,same
different,0.41352,0.182,0.38042,different
same,0.16062,0.008,0.00015,same
different,0.58578,0.182,0.38056,different
same,0.17226,0.008,0.00015,same
different,0.58578,0.183,0.3807,different
same,0,0.009,0.00014,same
different,0.85339,0.184,0.38085,different
same,0.26761,0.01,0.00015,same
different,0.85339,0.185,0.381,different
same,0,0.01,0.00015,same
different,0.06646,0.187,0.38115,different
same,0.21307,0.011,0.00015,same
different,0.06646,0.19,0.38129,different
same,0,0.011,0.00014,same
different,0.26816,0.193,0.38144,different
same,0.20169,0.011,0.00015,same
different,0.26816,0.197,0.38158,different
same,0,0.011,0.00014,same
different,0.26816,0.204,0.38188,different
same,0,0.022,0.0003,same
different,0.26816,0.208,0.38202,different
same,0,0.011,0.00014,same
different,0.26816,0.213,0.38217,different
same,0,0.01,0.00016,same
different,0.26816,0.216,0.38231,different
same,0,0.01,0.00014,same
different,0.08359,0.22,0.38246,different
same,0.18457,0.01,0.00015,same
different,0.08359,0.224,0.3826,different
same,0,0.009,0.00014,same
different,0.08359,0.228,0.38275,different
same,0,0.009,0.00015,same
different,0.91965,0.232,0.38289,different
same,0.16393,0.009,0.00014,same
different,0.91965,0.236,0.38304,different
same,0,0.008,0.00015,same
different,0.91965,0.24,0.38319,different
same,0,0.008,0.00015,same
different,0.91965,0.244,0.38334,different
same,0,0.009,0.00015,same
different,0.91965,0.248,0.38348,different
same,0,0.009,0.00014,same
